Project Code,HazardID,Reference,Hazard Number,Generic Hazard Title,Generic Hazard Type,Generic Hazard Originator,Event / Detail,Status,Hazard Owner,Hazard Editor,Hazard Manager,Endorsed,Endorsed By,Next Review Date,Next Review Occasion,Comments,Initial Assessment Date,Initial Assessment Occasion,Current Assessment Date,Current Assessment Occasion,Post Assessment Date,Post Assessment Occasion,Additional,Alarp,ALARP Comments,DateModified,Risk Assessment 1 Consequence,Risk Assessment 1 Risk Assessment Type,Risk Assessment 1 Initial Severity,Risk Assessment 1 Initial Probability,Risk Assessment 1 Initial Risk Level,Risk Assessment 1 Current Severity,Risk Assessment 1 Current Probability,Risk Assessment 1 Current Risk Level,Risk Assessment 1 Post Severity,Risk Assessment 1 Post Probability,Risk Assessment 1 Post Risk Level,Risk Assessment 1 Comments,Risk Assessment 1 DateModified,Risk Assessment 2 Consequence,Risk Assessment 2 Risk Assessment Type,Risk Assessment 2 Initial Severity,Risk Assessment 2 Initial Probability,Risk Assessment 2 Initial Risk Level,Risk Assessment 2 Current Severity,Risk Assessment 2 Current Probability,Risk Assessment 2 Current Risk Level,Risk Assessment 2 Post Severity,Risk Assessment 2 Post Probability,Risk Assessment 2 Post Risk Level,Risk Assessment 2 Comments,Risk Assessment 2 DateModified,Risk Assessment 3 Consequence,Risk Assessment 3 Risk Assessment Type,Risk Assessment 3 Initial Severity,Risk Assessment 3 Initial Probability,Risk Assessment 3 Initial Risk Level,Risk Assessment 3 Current Severity,Risk Assessment 3 Current Probability,Risk Assessment 3 Current Risk Level,Risk Assessment 3 Post Severity,Risk Assessment 3 Post Probability,Risk Assessment 3 Post Risk Level,Risk Assessment 3 Comments,Risk Assessment 3 DateModified
B412 WASBU,10,1,1,Unrestrained Baggage,Baggage Compartment,,"The bags in the baggage bay are unrestrained, similar to a car boot.  Bags have in the past, jammed the door and it has had to be taken apart to open.  The well area is also used to store baggage. There is a modification currently being embodied to restrain the baggage in this area.  Door mircoswitch can get damaged and light remains on, light baggage falls out on door opening",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,"21/04/2008: 
Comments to include the Mod progress with % complete",26/03/2008,Type Risk Assessment Meeting,27/03/2008,Hazard Log Generation,Mon Jun 30 00:00:00 UTC+0100 2008,Pre-Issue Review,Yes,No,,Wed Jul 9 14:52:34 UTC+0100 2008,Baggage door jammed with bag,Helicopter,Negl,,D,Negl,,D,N/A,,N/A,,Fri Jul 11 14:03:42 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,11,1,2,Simultaneous door opening,Ground Event,,"If the cowlings have been opened and not shut properly, when opening the door it is possible to snag the cowlings.",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,27/03/2008,Hazard Log Generation,Thu Mar 27 00:00:00 UTC 2008,(none),Yes,No,,Wed Jul 16 09:48:16 UTC+0100 2008,Damage to Helicopter Doors and Cowlings,Helicopter,Mar,,C,Mar,,C,N/A,,N/A,,Fri Jul 11 14:09:40 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,12,1,3,Slip/trip hazard on entry into cockpit,Ground Event,,The standard Bell step fitted is very small and narrow and it  therefore presents a  slip/trip hazard for anyone entering and especially exiting the cockpit. This is especially hazardous for the crews where their survival suits restrain normal movement,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,27/03/2008,Hazard Log Generation,Thu Mar 27 00:00:00 UTC 2008,(none),Yes,No,,Wed Jul 16 09:50:51 UTC+0100 2008,"Injury to personnel following slip, trip or fall",Personnel,Mar,,C,Mar,,C,N/A,,N/A,,Fri Jul 11 14:11:05 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,15,1,4,Refuelling -  Blow Back,Ground Event,,"The 412 has a single point for refuelling where all 10 tanks are interconnected.  Refuel is gravity fed or open line. Blow back when refuelling, was thought by the panel, to be an inherent design problem of the 412 because it fills into 2 small pipes at the front and sometimes the pump fuels too fast.  Human error also contributes to this problem when perhaps the refueller is distracted or put under pressure.",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,28/03/2008,Hazard Log Generation,Fri Mar 28 00:00:00 UTC 2008,(none),Yes,No,,Wed Jul 16 10:54:53 UTC+0100 2008,Injury to personnel following fuel spill,Personnel,Nil,,BMA,Nil,,BMA,N/A,,N/A,"28/03/2008: This was considered to be below the minimum levels of assessment since there are procedures and training in place when it comes to refuelling and any problem that may occur would be a result of negligence of the refueller and is unlikely to result in any injury.
",Fri Jul 11 14:13:23 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,16,1,5,Rotor contact during rotor restraint,Ground Event,,While fitting the rotor socks it is possible in extreme environmental conditions that the socks will fill with air and cause accidental damage to the rotor blade as the restraint contacts the MRB.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,28/03/2008,Hazard Log Generation,Fri Mar 28 00:00:00 UTC 2008,(none),Yes,No,,Fri Jul 11 14:14:47 UTC+0100 2008,Main Rotor Damage,Helicopter,Nil,,BMA,Nil,,BMA,N/A,,N/A,"28/03/2008: This was considered by the assessment panel to cause insignificant damage to the MRB and therefore was below the minimum assessment criteria.
Further review by Trinidad suggested that tie downs are not used as they cause the MRB to move out of balance - sock is ineffective and the TRB can bend during tie down",Fri Jul 11 14:17:42 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,17,1,6,AC towing,Ground Event,,The 412 aircraft is different from most aircraft as it is fitted with skids and not wheels so this makes it more difficult to move around.  In order to move these aircraft around wheels need to be fitted to the skids. The wheels are fitted and then a hydraulic pump is used to lift the aircraft off the ground.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,28/03/2008,Hazard Log Generation,Fri Mar 28 00:00:00 UTC 2008,(none),Yes,No,,Fri Jul 11 14:18:41 UTC+0100 2008,Injury to personnel,Personnel,Mar,,D,Mar,,D,N/A,,N/A,"Towing made easier by the introduction of a heliporter which rolls under ac, jacks under skids and hydraulics are used to lift the ac",Fri Jul 11 14:20:46 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,31,1,7,Door Micro-Switch,Ground Event,,"Baggage bay microswitch is damaged during loading, generally only noticed if door open light illuminates - crew leave ac to close door - mainly a delay",Open,Q&S EHBU,Richard Nesbitt,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,26/05/2008,Hazard Log Generation,30/06/2008,Risk Review Meeting,Fri Jul 11 00:00:00 UTC+0100 2008,(none),Yes,No,,Fri Jul 11 14:29:42 UTC+0100 2008,Damage to equipment,Helicopter,Mar,,C,Mar,,C,N/A,,N/A,,Fri Jul 11 14:30:40 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,32,1,8,Rotor Tie Down moves MRB out of track,Ground Event,,Rotor tie down can cause the MRB move out of track and balance and this can lead to yoke fatigue,Open,Q&S EHBU,Richard Nesbitt,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,08/05/2008,Hazard Log Generation,11/07/2008,Risk Review Meeting,Fri Jul 11 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 11:40:19 UTC+0100 2008,Aircraft can suffer from Yoke fatigue and this requires replacement,Helicopter,Maj,,C,Maj,,C,N/A,,N/A,,Fri Jul 11 14:38:18 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,33,1,9,Sharp Edges in Cockpit,Ground Event,,"Sharp edges on console, vent handle and ashtray cause injury on entry and exit to/from cockpit",Open,Q&S EHBU,Richard Nesbitt,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,11/07/2008,Hazard Log Generation,Fri Jul 11 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 11:39:59 UTC+0100 2008,Injury to personnel - caused by sharp edges,Helicopter,Mar,,C,Mar,,C,N/A,,N/A,,Fri Jul 11 14:54:27 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,18,2,1,Personnel in Disc Area,Ground Event,,Engineers are periodically required inside the disc area of the helicopter while rotors are turning.  This can be for routine maintenance such as leak checks and engine adjustments.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,08/05/2008,Risk Review Meeting,Fri Mar 28 00:00:00 UTC 2008,(none),Yes,No,,Wed Jul 16 11:45:00 UTC+0100 2008,In worst case death,Personnel,Crit,,D,Crit,,D,N/A,,N/A,,Fri Mar 28 15:58:29 UTC 2008,Injury to personnel,Personnel,Maj,,C,Maj,,C,N/A,,N/A,"28/03/2008: If the engineer is attempting to trace an oil cooler blower leak then it is possible for them to get their hands in a very close and dangerous position where they could have their fingers shredded.  Although it is viewed to be foolish of anyone to put themselves in such a dangerous position.  In addition, tradesman need to be close to the engine with rotors turning to carry out engine Governor adjustments and this places them at risk for a prolonged period.
",Wed Jul 16 11:48:16 UTC+0100 2008,,,,,,,,,,,,,
