Identifier,Full Title,Hazard Reference,HMA Number,Generic Management Action Title,Generic Management Action Type,Generic Management Action Description,HMA Description,HMA Manager,Status,Next Review Date,Next Review Date Occasion,Latest Decision / Start Date,Latest Decision / Start Date Description,Associated Consequence,Associated Cause,Progress,Secondary Considerations,HMA Data Link,DateModified
B412 WASBU_32,001 - 1.1 Procedures,001 - 1,1,Procedures,Procedural,,The crew or an engineer will supervise the loading of the baggage to ensure it is done properly.,Claire Reid,Existing Safeguard,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Baggage door jammed with bag,Human Error,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=32,Tue Aug 19 09:46:10 UTC+0100 2008
B412 WASBU_33,001 - 2.1 Procedures,001 - 2,1,Procedures,Procedural,,Maintenance staff should check that the cowlings are secured after any maintenance carried out according to the procedures.,Claire Reid,Existing Safeguard,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Damage to equipment,Inexperienced personnel,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=33,Thu Mar 27 11:48:45 UTC 2008
B412 WASBU_34,001 - 3.1 AC Modification Programme,001 - 3,1,AC Modification Programme,Aircraft Manufacturer Review,,"A new cockpit step is now fitted as standard which is much bigger and much more user friendly. However, the modification is not complete across the fleet",Fleet  Support,Existing Safeguard,30/06/2008,Pre-Issue Review,26/03/2008,Initial type risk assessment,"Injury to personnel following slip, trip or fall",Aircraft Design,"21/04/2008: 
Modification number to be inserted along with program progress with % complete",,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=34,Fri Jul 11 14:11:55 UTC+0100 2008
B412 WASBU_37,001 - 4.1 Procedures,001 - 4,1,Procedures,Procedural,,QID 034 (Ramp Procedures) are in place to instruct on refuelling,Fleet  Support,Existing Safeguard,30/06/2008,Pre-Issue Review,26/03/2008,Initial type risk assessment,Injury to personnel following fuel spill,Human Error,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=37,Fri Jul 11 14:13:53 UTC+0100 2008
B412 WASBU_38,001 - 4.2 AC Specific Training,001 - 4,2,AC Specific Training,Bristow Operating Procedures,,Standardisation of training to be carried out against an agreed syllabus,Q&S EHBU,Proposed,30/06/2008,Pre-Issue Review,26/03/2008,Initial type risk assessment,Injury to personnel following fuel spill,Human Error,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=38,Fri Jul 11 14:14:09 UTC+0100 2008
B412 WASBU_39,001 - 6.1 Procedures,001 - 6,1,Procedures,Procedural,,,Q&S EHBU,Existing Safeguard,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Injury to personnel,Aircraft Design,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=39,Fri Jul 11 14:21:20 UTC+0100 2008
B412 WASBU_40,001 - 6.2 AC Modification Programme,001 - 6,2,AC Modification Programme,Aircraft Manufacturer Review,,It is proposed that new wheels will be introduced with better seals to prevent the collapse of the aircraft and potential injury to personnel.,Claire Reid,Proposed,30/06/2008,Risk Review Meeting,26/03/2008,"Initial type risk assessment
",Injury to personnel,Aircraft Design,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=40,Fri Mar 28 15:34:15 UTC 2008
B412 WASBU_56,001 - 6.3 Heliporter used,001 - 6,3,Heliporter used,Base Operating Procedures,,In Trinidad they have procured a Heliporter to move the aircraft around.  It rolls underneath the aircraft with the jacks going underneath the skids and it hydraulically lifts the aircraft in order to safely tow the aircraft around.,Q&S LABU,Existing Safeguard,31/07/2008,Pre-Issue Review,08/05/2008,Trinidad type cross reference,Injury to personnel,Aircraft Design,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=56,Wed Jul 16 11:30:44 UTC+0100 2008
B412 WASBU_63,001 - 7.1 Procedures,001 - 7,1,Procedures,Procedural,,The crew or an engineer will supervise the loading of the baggage to ensure it is done properly.,Richard Nesbitt,Existing Safeguard,30/09/2008,Safety Action Group Review,19/08/2008,Risk Review,(none),(none),,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=63,Tue Aug 19 09:49:49 UTC+0100 2008
B412 WASBU_41,002 - 1.1 Procedures,002 - 1,1,Procedures,Procedural,,There are procedures in place that instruct personnel which direction to approach the aircraft from so avoid contact with the disc.,Claire Reid,Existing Safeguard,30/06/2008,Risk Review Meeting,25/03/2008,Initial type risk assessment,In worst case death,"Approaching aircraft in the """"red zone""""",,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=41,Fri Mar 28 16:18:13 UTC 2008
B412 WASBU_24,003 - 1.1 Flight Planning ,003 - 1,1,Flight Planning ,Base Operating Procedures,,Route structure is an integral part of the flight planning process and obstacles on route should be identified prior to commencement of flight,Flight  Operations,Existing Safeguard,31/10/2008,Risk Review Meeting,29/10/2007,Initial Risk Assessment Meeting,Collision with Sea-borne structure,Off Shore - No ILS,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=24,Wed Jul 16 14:33:02 UTC+0100 2008
B412 WASBU_25,003 - 1.2 Procedures,003 - 1,2,Procedures,Procedural,,Communications with Destination,Flight  Operations,Existing Safeguard,31/10/2008,Risk Review Meeting,29/10/2007,Initial Risk Assessment Meeting,Collision with Sea-borne structure,Inaccurate Communications with Destination,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=25,Wed Jul 16 14:33:16 UTC+0100 2008
B412 WASBU_26,003 - 1.3 Weather RADAR,003 - 1,3,Weather RADAR,Helicopter Design,Helicopter able to superimpose RADAR cover over GRPS,Helicopter able to superimpose RADAR cover over the GRPS,Flight  Operations,Existing Safeguard,31/10/2008,Risk Review Meeting,29/10/2007,Initial Risk Assessment Meeting,Collision with Sea-borne structure,Equipment Operated out of Design Intent,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=26,Wed Jul 16 14:33:43 UTC+0100 2008
B412 WASBU_27,003 - 1.4 Operational Restraint,003 - 1,4,Operational Restraint,Bristow Operating Procedures,,Operational Restraint - decision range of 0.75 mile from destination,Flight  Operations,Existing Safeguard,31/10/2008,Risk Review Meeting,29/10/2007,Initial Risk Assessment Meeting,Collision with Sea-borne structure,Off Shore - No ILS,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=27,Wed Jul 16 14:34:04 UTC+0100 2008
B412 WASBU_30,003 - 2.1 Flight Information Service  -Air Traffic Control,003 - 2,1,Flight Information Service  -Air Traffic Control,Bristow Procedures,On request Operators can request Flight Information service from Air Traffic Control," A Flight Information Service (FIS) is a basic form of Air Traffic Control service which is available to any aircraft within a Flight Information Region (FIR), as agreed internationally by ICAO.

It is defined as information pertinent to the safe and efficient conduct of flight, and includes information on other potentially conflicting traffic, possibly derived from radar, but stopping short of providing positive separation from that traffic.

Flight Information also includes:

Meteorological information 
Information on aerodrome 
Information on possible hazards to flight 
An FIS shall be provided to all aircraft which are provided with any ATC service or are otherwise known to Air Traffic Service units. All Air Traffic Service units will provide an FIS to any aircraft, in addition to their other tasks.
",Fleet  Support,Existing Safeguard,31/10/2008,Risk Review Meeting,27/02/2008,Initial Type Risk Assessment Meeting,Collision with 3rd Party Aircraft,Uncontrolled Airspace - No TCAS Fitted,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=30,Wed Jul 16 14:31:59 UTC+0100 2008
B412 WASBU_31,003 - 2.2 TCAS embodiment Programme,003 - 2,2,TCAS embodiment Programme,Operator's Modification,,TCAS II modification programme is currently under consideration will the lead AC nominated as the S-92,Fleet  Support,Proposed,31/03/2008,Risk Review Meeting,27/02/2008,Initial Type Risk Assessment,Collision with 3rd Party Aircraft,Uncontrolled Airspace - No TCAS Fitted,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=31,Wed Jul 16 14:32:11 UTC+0100 2008
B412 WASBU_35,003 - 3.1 Bristow Modification,003 - 3,1,Bristow Modification,Helicopter Design,,Many applicable mods were designed for the 212 and should be reconsidered for introduction onto the 412 to eliminate this and many other hazards.,Fleet  Support,Proposed,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Catastrophic loss of AC,Lack of rear cabin shear control,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=35,Wed Jul 16 14:35:40 UTC+0100 2008
B412 WASBU_42,003 - 4.1 AC Modification Programme,003 - 4,1,AC Modification Programme,Aircraft Manufacturer Review,,Some of the aircraft in the series are fitted with heated windscreens.,Fleet  Support,Existing Safeguard,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,(none),Damp passengers,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=42,Wed Jul 16 14:39:44 UTC+0100 2008
B412 WASBU_43,003 - 4.2 Procedures,003 - 4,2,Procedures,Procedural,,Common practice would be to fly around until the misting is cleared and therefore it is safe to land or if this happens before take off then the take off would be delayed until the misting has cleared.,Flight  Operations,Existing Safeguard,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,(none),Damp passengers,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=43,Wed Jul 16 14:40:10 UTC+0100 2008
B412 WASBU_44,003 - 5.1 Procedures,003 - 5,1,Procedures,Procedural,,It is part of the pilot's pre flight inspections and the engineers turnaround inspection to check the BHVM however this does not mean download the information.,Fleet  Support,Existing Safeguard,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Latent fault hidden from Pilot,Down loaded at end of days flying,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=44,Wed Jul 16 14:50:35 UTC+0100 2008
B412 WASBU_45,003 - 7.1 AC Modification Programme,003 - 7,1,AC Modification Programme,Aircraft Manufacturer Review,,The rollers on the sliding door do not tend to latch properly and the manufacturer is working on a solution to this issue.,Fleet  Support,Proposed,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Catastrophic loss of AC,Human Error,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=45,Wed Jul 16 15:03:21 UTC+0100 2008
B412 WASBU_46,003 - 7.2 Bristow Modification,003 - 7,2,Bristow Modification,Helicopter Design,,The problem of panels detaching in flight was rectified by an aircraft Mod in the 212 fleet however with the purchase of the new 412 the same problems have been reappearing.  It is felt that the Modifications that exist for the 212 should be reintroduced to rectify the 412.,Fleet  Support,Proposed,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Catastrophic loss of AC,Human Error,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=46,Wed Jul 16 15:04:56 UTC+0100 2008
B412 WASBU_47,003 - 8.1 Procedures,003 - 8,1,Procedures,Procedural,,There are procedures in place whereby these stress points are inspected on a frequent basis (every 25 flying hours) and therefore if any cracks do develop these can be repaired before causing a catastrophic event.,Fleet  Support,Existing Safeguard,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Catastrophic loss of AC,Aircraft Design,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=47,Wed Jul 16 15:07:37 UTC+0100 2008
B412 WASBU_48,003 - 9.1 AC Modification Programme,003 - 9,1,AC Modification Programme,Aircraft Manufacturer Review,,It has been proposed that by rearranging the panel this problem would be erased completely.,Fleet  Support,Proposed,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Overspeed the engine,Ergonomic disaster,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=48,Wed Jul 16 15:21:36 UTC+0100 2008
B412 WASBU_50,003 - 10.1 Bristow Modification,003 - 10,1,Bristow Modification,Helicopter Design,,It has been proposed that the company should standardise the fleet to eliminate this potential for an accident.,Fleet  Support,Proposed,30/06/2008,Risk Review Meeting,26/03/2008,Initial type risk assessment,Incorrect Pilot Action in flight could result in catastrophic loss of Aircraft,Variation of AC design within 412 Series Fleet,,,http://www.bmtharms.co.uk/DataLinkHMA.asp?ProjectID=1291&HMAID=50,Wed Jul 16 15:32:38 UTC+0100 2008
